Single/Multiphase,synthesis method,grain size ($\mu$m),ROM Density (g/cm$^3$),HV,Type of test,Test temperature ($^\circ$C),YS (MPa),UTS (MPa),Elongation (%),Elongation plastic (%),ROM Young modulus (GPa),Exp. Young modulus (GPa),Exp. Density (g/cm$^3$),BCC/FCC/other,Processing method,Calculated Density (g/cm$^3$),Calculated Young modulus (GPa),Young modulus_new (GPa)
S,AC,,7.6,215,,25,,,,,193,,,FCC,CAST,7.6,189,193
S,AC,,7.6,204,,25,,,,,191,,,FCC,CAST,7.6,186,191
M,AC,,7.5,231,,25,,,,,189,,,other,CAST,7.5,,189
M,AC,,7.5,328,,25,,,,,,,,other,CAST,7.5,,
M,AC,,7.4,447,,25,,,,,,,,other,CAST,7.4,,
M,AC,,7.4,639,,25,,,,,,,,other,CAST,7.4,,
S,AC,,7.3,579,,25,,,,,182,,,BCC,CAST,7.3,177,182
S,AC,,7.3,577,,25,,,,,180,,,BCC,CAST,7.3,175,180
S,AC,,7.2,594,,25,,,,,179,,,BCC,CAST,7.2,174,179
S,AC,,7.2,597,,25,,,,,177,,,BCC,CAST,7.2,172,177
S,AC,,7.2,587,,25,,,,,176,,,BCC,CAST,7.2,171,176
M,AC,,7.1,472,,25,,,,,184,,,other,CAST,7.1,,184
M,AC,,7.4,578,,25,,,,,,,,other,CAST,7,,
M,AC,,7,536,,25,,,,,164,,,other,CAST,7,,164
M,AC,,5.9,682,,25,,,,,145,,,other,CAST,5.9,,145
M,AC,,6.5,626,,25,,,,,156,,,other,CAST,6.5,,156
M,AC,,6.9,472,,25,,,,,,,,other,CAST,6.9,,
M,AC,,7.1,,C,25,1005,,15,,,,,other,CAST,7.1,,
M,AC,,7.1,,C,25,1303,,24,,183,,,other,CAST,7.1,,183
M,AC,,6.6,,C,25,1234,,9,,174,,,other,CAST,6.6,,174
M,AC,,6.9,,C,25,1469,,16,,175,,,other,CAST,6.9,,175
S,,,6.4,,C,25,,1495,,8,,36,,BCC,,6.4,157,157
M,AC,,5.8,,C,25,,1192,,4,,37,,other,CAST,5.8,,
M,AC,,6.1,,C,25,,1025,,3,,36,,other,CAST,6.1,,
M,AC,,5.9,,C,25,,1325,,5,,38,,other,CAST,5.9,,
S,AC,,8.6,,T,25,,480,,15,188,,,FCC,CAST,8.6,187,188
S,AC,,8.6,,T,25,,548,,17,187,,,FCC,CAST,8.6,185,187
M,AC,,8.6,,T,25,,594,,18,,,,other,CAST,8.6,,
M,AC,,8.6,,T,25,,615,,20,,,,other,CAST,8.6,,
M,AC,,8.6,,T,25,,632,,19,,,,other,CAST,8.6,,
M,AC,,8.6,,T,25,,602,,5,,,,other,CAST,8.6,,
M,AC,,8.5,,T,25,,261,,2,,,,other,CAST,8.5,,
M,AC,,8.3,,,25,,,,,,,,other,CAST,8.3,,
S,AC,,8.4,208,T,25,,478,,14,190,,,FCC,CAST,8.4,189,190
S,AC,,8.4,192,T,25,,465,,18,,,,FCC,CAST,8.4,187,
M,AC,,8.4,205,T,25,,475,,12,,,,other,CAST,8.4,,
M,AC,,8.3,219,T,25,,425,,7,,,,other,CAST,8.3,,
M,AC,,8.3,253,T,25,,470,,6,,,,other,CAST,8.3,,
M,AC,,8.3,319,T,25,,368,,2,,,,other,CAST,8.3,,
M,A,,6.8,495,,25,,,,,178,,,other,ANNEAL,6.8,,178
M,A,,6.6,496,,25,,,,,176,,,other,ANNEAL,6.6,,176
M,A,,6.7,486,,25,,,,,177,,,other,ANNEAL,6.7,,177
M,A,,6.8,407,,25,,,,,179,,,other,ANNEAL,6.8,,179
M,A,,6.9,367,,25,,,,,180,,,other,ANNEAL,6.9,,180
S,,,8.3,286,C,25,230,888,51,,56,,,FCC,,8.3,206,56
S,,,8,,,25,,,,,199,,,FCC,,8,197,199
S,,,7.8,,,25,,,,,194,,,FCC,,7.8,190,194
S,,,7.5,,,25,,,,,190,,,FCC,,7.5,185,190
S,,,7.3,,,25,,,,,186,,,FCC,,7.3,179,186
M,,,6.9,,,25,,,,,178,,,other,,6.9,,178
M,,,7.1,,,25,,,,,182,,,other,,7.1,,182
M,A,,6.3,,C,25,,1219,,,,,,other,ANNEAL,6.3,,
S,AC,,5.9,516,C,25,980,1326,,7,,145,,FCC,CAST,5.9,131,145
S,AC,,5.9,516,C,25,980,1326,,7,,145,,FCC,CAST,5.9,131,145
S,AC,,6.1,516,C,25,1074,1617,,8,,146,,FCC,CAST,6.1,137,146
S,AC,,5.7,537,C,25,300,536,,0.85,,108,,FCC,CAST,5.7,122,122
M,AC,,2.9,,C,25,488,879,17,,,,,other,CAST,2.9,,
M,AC,,3,,C,25,415,836,16,,,,,other,CAST,3,,
M,AC,,2.7,,,25,,,,,,,,other,CAST,2.7,,
M,AC,,3,,,25,,,,,,,,other,CAST,3,,
M,AC,,2.9,,C,25,546,546,,,,,,other,CAST,2.9,,
M,AC,,3.9,,C,25,600,615,1,,,,,other,CAST,3.9,,
M,,,2.7,591,,25,,,,,69,,,other,,2.7,,69
S,HIP+A,180,7.7,500,C,25,1965,2061,5,,110,,,BCC,OTHER,7.7,107,110
S,HIP+A,,7.8,,C,800,678,693,50,,,,,BCC,OTHER,7.7,107,107
S,HIP+A,,7.8,,C,1000,166,189,50,,,,,BCC,OTHER,7.7,107,107
S,HIP+A,200,8.1,490,C,25,1965,2054,5,,113,,,BCC,OTHER,8.1,110,113
S,HIP+A,,8.2,,C,800,362,397,50,,,,,BCC,OTHER,8.1,110,110
S,HIP+A,,8.2,,C,1000,236,247,50,,,,,BCC,OTHER,8.1,110,110
S,HIP+A,140,9.1,500,C,25,1841,2269,10,,110,,,BCC,OTHER,9.1,107,110
S,HIP+A,,9,,C,800,796,834,50,,,,,BCC,OTHER,9.1,107,107
S,HIP+A,,9,,C,1000,298,455,50,,,,,BCC,OTHER,9.1,107,107
S,HIP+A,100,7.6,530,C,25,2035,2105,5,,111,,,BCC,OTHER,7.6,109,111
S,HIP+A,,7.4,,C,800,796,851,50,,,,,BCC,OTHER,7.6,109,109
S,HIP+A,,7.4,,C,1000,220,225,50,,,,,BCC,OTHER,7.6,109,109
M,HIP+A,75,7.1,591,C,25,2000,2368,10,,123,,,other,OTHER,7.1,,123
M,HIP+A,,7.4,,C,800,1597,1810,11,,,,,other,OTHER,7.1,,
M,HIP+A,,7.4,,C,1000,745,772,50,,,,,other,OTHER,7.1,,
M,HIP+A,,7.4,,C,1200,250,,50,,,,,other,OTHER,7.1,,
S,HIP+A,2000,6.8,408,C,25,1280,1367,4,,106,,,BCC,OTHER,6.8,105,106
S,HIP+A,,6.9,,C,800,728,1000,12,,,,,BCC,OTHER,6.8,105,105
S,HIP+A,,6.9,,C,1000,403,415,50,,,,,BCC,OTHER,6.8,105,105
S,AC,105,9.5,353,C,25,1188,,50,,,63,,BCC,CAST,9.5,105,105
S,AC,86,9.3,396,C,25,1302,,46,,,97,,BCC,CAST,9.3,104,104
S,AC,89,9.3,427,C,25,1415,2050,30,,,102,,BCC,CAST,9.1,103,103
M,AC,92,8.6,441,C,25,1489,1900,21,,,103,,other,CAST,8.9,,
S,AC,120,9.7,295,C,25,1073,,50,,,55,,BCC,CAST,9.9,107,107
S,AC,,7.1,460,C,25,1250,1500,13,,164,,,BCC,CAST,7.1,161,164
S,AC,,6.8,487,C,25,1625,1800,11,,158,,,BCC,CAST,6.8,156,158
S,AC,,6.6,517,C,25,1260,1300,8,,154,,,BCC,CAST,6.6,151,154
S,AC,,6.4,537,C,25,1375,1400,3,,150,,,BCC,CAST,6.4,147,150
S,AC,,7.3,441,C,25,1200,2050,26,,170,,,BCC,CAST,7.3,167,170
S,AC,,8.8,,C,25,1330,,,,92,,,BCC,CAST,8.8,130,130
S,AC,,8.5,,C,25,1014,,,,97,,,BCC,CAST,8.5,127,127
S,AC,,7.9,,C,25,993,,,,101,,,BCC,CAST,7.9,122,101
S,AC,,9.2,,C,25,1092,,,,106,,,BCC,CAST,9.2,134,106
S,A,350,5.5,448,C,25,1020,1318,,5,105,,,BCC,ANNEAL,5.5,104,105
S,A,,5.6,,C,600,810,1050,,12,,,,BCC,ANNEAL,5.5,104,104
S,A,,5.6,,C,800,685,,,50,,,,BCC,ANNEAL,5.5,104,104
S,A,,5.6,,C,1000,158,,,50,,,,BCC,ANNEAL,5.5,104,104
M,HIP+A,,8,540,C,25,1595,2046,5,,,,,other,OTHER,8,,
M,HIP+A,,8.2,,C,800,983,1100,5.5,,,,,other,OTHER,8,,
M,HIP+A,,8.2,,C,1000,546,630,50,,,,,other,OTHER,8,,
M,HIP+A,,8.2,,C,1200,170,190,50,,,,,other,OTHER,8,,
M,HIP+A,,6.6,482,C,25,1298,,3,,,,,other,OTHER,6.6,,
M,HIP+A,,6.6,,C,600,1230,,10,,,,,other,OTHER,6.6,,
M,HIP+A,,6.6,,C,800,615,,50,,,,,other,OTHER,6.6,,
M,HIP+A,,6.6,,C,1000,259,,50,,,,,other,OTHER,6.6,,
M,HIP+A,,6.6,418,C,25,1260,,6,,,,,other,OTHER,6.6,,
M,HIP+A,,6.7,,C,600,1035,,50,,,,,other,OTHER,6.6,,
M,HIP+A,,6.7,,C,800,300,,50,,,,,other,OTHER,6.6,,
M,HIP+A,,6.7,,C,1000,115,,50,,,,,other,OTHER,6.6,,
S,HIP+A,550,6.4,304,C,25,918,,50,,109,,,BCC,OTHER,6.4,105,109
S,HIP+A,,6.3,,C,600,571,,50,,,,,BCC,OTHER,6.4,105,105
S,HIP+A,,6.3,,C,800,240,,50,,,,,BCC,OTHER,6.4,105,105
S,HIP+A,,6.3,,C,1000,72,,50,,,,,BCC,OTHER,6.4,105,105
S,HIP+A,550,6.5,335,C,25,1105,,50,,104,,,BCC,OTHER,6.5,100,100
S,HIP+A,,6.5,,C,600,834,,50,,,,,BCC,OTHER,6.5,100,100
S,HIP+A,,6.5,,C,800,187,,50,,,,,BCC,OTHER,6.5,100,100
S,HIP+A,,6.5,,C,1000,58,,50,,,,,BCC,OTHER,6.5,100,100
S,AC,,7.9,,C,25,1176,1538,,,123.1,,,BCC,CAST,7.9,115,115
M,AC,,7.8,,C,25,1183,2139,38,,,,,other,CAST,7.8,,
M,AC,,7.7,,C,25,1201,1965,33,,,,,other,CAST,7.7,,
S,AC,,9.9,395,C,25,1112,,50,,,96,,BCC,CAST,9.9,115,115
S,AC,,10,480,C,25,1317,,50,,,102,,BCC,CAST,9.9,123,123
S,AC,,10,492,C,25,1373,,50,,,109,,BCC,CAST,9.9,130,130
S,AC,,10,505,C,25,1512,1800,12,,,115,,BCC,CAST,9.9,137,137
S,AC,,9.9,335,C,25,1015,,50,,,85,,BCC,CAST,9.9,107,107
S,AC,,10,505,C,25,1512,,12,,147,,,BCC,CAST,9.9,137,147
S,AC,,10,,C,800,1007,,23,,,,,BCC,CAST,9.9,137,137
S,AC,,10,,C,1000,814,,30,,,,,BCC,CAST,9.9,137,137
S,AC,,10,,C,1200,556,,30,,,,,BCC,CAST,9.9,137,137
S,AC,,10.2,542,C,25,1600,1743,4,,155,,,BCC,CAST,10.2,143,143
S,AC,,10.2,,C,800,1045,1446,19,,,,,BCC,CAST,10.2,143,143
S,AC,,10.2,,C,1000,855,,30,,,,,BCC,CAST,10.2,143,143
S,AC,,10.2,,C,1200,404,,30,,,,,BCC,CAST,10.2,143,143
S,A,,8.7,,C,25,1575,1640,9,,,,,BCC,ANNEAL,8.7,128,128
S,A,,8.7,,C,800,825,1095,50,,,,,BCC,ANNEAL,8.7,128,128
S,A,,8.7,,C,1000,635,654,50,,,,,BCC,ANNEAL,8.7,128,128
S,A,,8.7,,C,1200,187,194,50,,,,,BCC,ANNEAL,8.7,128,128
S,AC,,8.7,,C,25,1719,1803,10,,139,,,BCC,CAST,8.7,128,128
M,AC,,8.6,,C,800,875,,50,,,,,other,CAST,7.8,,
M,AC,,8.6,,C,1000,240,,50,,,,,other,CAST,7.8,,
M,AC,,8.6,490,C,25,1399,1608,11,,,,,other,CAST,7.8,,
S,AC,,8.1,301,T,25,903,990,19,,107,,,BCC,CAST,8.2,103,107
S,HIP+A,,9.9,,C,25,929,,50,,,,,BCC,OTHER,9.9,107,107
S,HIP+A,,9.9,,C,400,790,,50,,,,,BCC,OTHER,9.9,107,107
S,HIP+A,,9.9,,C,600,675,,50,,,,,BCC,OTHER,9.9,107,107
S,HIP+A,,9.9,,C,800,535,,50,,,,,BCC,OTHER,9.9,107,107
S,HIP+A,,9.9,,C,1000,295,,50,,,,,BCC,OTHER,9.9,107,107
