Single/Multiphase,synthesis method,grain size ($\mu$m),ROM Density (g/cm$^3$),HV,Type of test,Test temperature ($^\circ$C),YS (MPa),UTS (MPa),Elongation (%),Elongation plastic (%),ROM Young modulus (GPa),Exp. Young modulus (GPa),Exp. Density (g/cm$^3$),BCC/FCC/other,Processing method,Calculated Density (g/cm$^3$),Calculated Young modulus (GPa),Young modulus_new (GPa)
S,AC,,,132,C,300,,,,,,,,FCC,CAST,7.6,210,210
S,AC,,,147,C,340,,,,,,,,FCC,CAST,7.6,210,210
S,AC,,,165,C,430,,,,,,,,FCC,CAST,7.6,210,210
M,AC,204,,519,C,25,1631,,16,,,,,other,CAST,6.7,,
M,AC,185,,493,C,25,1209,,23,,,,,other,CAST,6.7,,
M,CR + A,4.4,,,T,25,443,840,61.6,,,,,other,WROUGHT,8.2,,
M,CR + A,3.2,,,T,25,711,1096,38.3,,,,,other,WROUGHT,8.2,,
M,CR + A,26.3,,,T,25,301,718,77.5,,,,,other,WROUGHT,8.2,,
M,CR + A,4.8,,,T,25,684,1078,48.1,,,,,other,WROUGHT,8.2,,
M,CR + A,70.1,,,T,25,261,673,86.6,,,,,other,WROUGHT,8.2,,
M,CR + A,5.4,,,T,25,506,933,59.3,,,,,other,WROUGHT,8.2,,
M,CR + A,136.5,,,T,25,231,638,87.2,,,,,other,WROUGHT,8.2,,
M,CR + A,120.6,,,T,25,296,693,63.2,,,,,other,WROUGHT,8.2,,
S,A,300,,,,,,,,,,,,FCC,ANNEAL,8,220,220
S,SPS,4.2,,,,,,,,,,,,FCC,POWDER,8,220,220
S,SPS,1.3,,,,,,,,,,,,FCC,POWDER,8,220,220
M,AC,,,,T,25,615,950,14,,,,,other,CAST,8.1,,
M,A,,,,,,,,,,,,,other,ANNEAL,8.1,,
M,A,,,,,,,,,,,,,other,ANNEAL,8.1,,
M,A,,,,,,,,,,,,,other,ANNEAL,8.1,,
M,A,,,,,,,,,,,,,other,ANNEAL,8.1,,
M,A,,,,,,,,,,,,,other,ANNEAL,8.1,,
M,A,,,,,,,,,,,,,other,ANNEAL,8.1,,
M,A,,,,,,,,,,,,,other,ANNEAL,8.1,,
M,A,,,,,,,,,,,,,other,ANNEAL,8.1,,
S,AC,,,473,C,25,896,,10.4,7.08,,,,BCC,CAST,13.7,298,298
M,AC,,,510,C,25,1074,,12.1,8.33,,,,other,CAST,13.5,,
M,AC,,,558,C,25,1144,,12.7,8.81,,,,other,CAST,13.4,,
M,AC,,,583,C,25,1202,,14.2,10.25,,,,other,CAST,13.3,,
M,AC,,,615,C,25,1241,,13.8,9.64,,,,other,CAST,13.3,,
S,A,,,,T,23,520,696,49,,,,,FCC,ANNEAL,7.4,185,185
S,A,,,,T,600,470,561,11,,,,,FCC,ANNEAL,7.4,185,185
S,A,,,,T,700,461,560,9,,,,,FCC,ANNEAL,7.4,185,185
S,A,,,,T,800,445,536,6,,,,,FCC,ANNEAL,7.4,185,185
S,A,,,,T,900,219,312,8,,,,,FCC,ANNEAL,7.4,185,185
S,DC + A,,,,T,23,627,1197,27,,,,,FCC,ANNEAL,7.4,185,185
S,DC + A,,,,T,600,594,1006,12,,,,,FCC,ANNEAL,7.4,185,185
S,DC + A,,,,T,700,547,840,17,,,,,FCC,ANNEAL,7.4,185,185
S,DC + A,,,,T,800,399,575,20,,,,,FCC,ANNEAL,7.4,185,185
S,DC + A,,,,T,900,243,319,34,,,,,FCC,ANNEAL,7.4,185,185
S,CR + A,8.7,,,T,25,401,717,49,,,,,FCC,WROUGHT,7.9,208,208
S,CR + A,10.4,,,T,25,350,690,50,,,,,FCC,WROUGHT,7.9,208,208
S,CR + A,11.2,,,T,25,312,660,51,,,,,FCC,WROUGHT,7.9,208,208
S,CR + A,48.2,,,T,25,240,610,53,,,,,FCC,WROUGHT,7.9,208,208
S,CR + A,82.7,,,T,25,210,593,52,,,,,FCC,WROUGHT,7.9,208,208
M,SPS,,,410.9,T,25,,,,,,184,7.5,other,POWDER,8,,184
M,AC,80.67,,581.7,C,25,1241,,9.98,,,,,other,CAST,5.9,,
M,AC,66.93,,605.5,C,25,1324,,10.02,,,,,other,CAST,5.9,,
M,AC,56.27,,641.7,C,25,1566,,11.85,,,,,other,CAST,6.1,,
M,AC,49.95,,639.6,C,25,1503,,7.73,,,,,other,CAST,6.2,,
M,AC,30.49,,703,C,25,1448,,6.18,,,,,other,CAST,6.2,,
M,AC,22.03,,856.9,C,25,1272,,3.15,,,,,other,CAST,6.3,,
,,,,,C,25,1300,,24.2,,,,,other,,6.7,,
,,,,,C,25,968,,30.1,,,,,other,,6.8,,
,,,,,C,25,1100,,27.5,,,,,other,,6.9,,
,,,,,C,25,1060,,19.1,,,,,other,,7,,
,,,,,C,25,1285,,24.6,,,,,other,,7.1,,
,,,,,C,25,1612,,12.8,,,,,other,,6.5,,
,,,,,C,25,1523,,8.1,,,,,other,,6.6,,
,,,,,C,25,1271,,14,,,,,other,,6.3,,
,,,,,C,25,1363,,19,,,,,other,,6.4,,
,,,,,C,25,1349,,20,,,,,other,,6.5,,
,,,,,C,25,1331,,20,,,,,other,,6.6,,
,,,,,C,25,1313,,19,,,,,other,,6.7,,
,,,,,C,25,338,,4.3,,,,,other,,7.8,,
M,GA+A,,,,,,,,,,,,,other,POWDER,6.7,,
M,GA+A,,,,,,,,,,,,,other,POWDER,6.7,,
M,GA+A,,,,,,,,,,,,,other,POWDER,6.7,,
M,GA+A,,,,,,,,,,,,,other,POWDER,6.7,,
M,GA+A,,,,,,,,,,,,,other,POWDER,6.7,,
M,AC,29.4,,,C,25,1550,,26.3,,,,,other,CAST,11.2,,
M,AC,31.7,,,C,25,1637,,15.5,,,,,other,CAST,11.1,,
M,AC,,,,C,800,577,,35,,,,,other,CAST,11.2,,
M,AC,,,,C,800,1065,,35,,,,,other,CAST,11.1,,
M,AC,,,,C,1000,409,,35,,,,,other,CAST,11.2,,
M,AC,,,,C,1000,736,,35,,,,,other,CAST,11.1,,
M,AC,,,,C,1200,345,,35,,,,,other,CAST,11.2,,
M,AC,,,,C,1200,703,,35,,,,,other,CAST,11.1,,
S,AC,,,372,C,25,1223,,48,,,,,BCC,CAST,6.5,94,94
S,AC,,,351,C,25,1000,,52,,,,,BCC,CAST,8.4,89,89
S,A,300,,,,,,,,,,,,BCC,ANNEAL,6.5,94,94
S,A,50,,,,,,,,,,,,BCC,ANNEAL,8.4,89,89
S,AC,,,,C,800,462,,51,,,,,BCC,CAST,6.5,94,94
S,AC,,,,C,800,303,,51,,,,,BCC,CAST,8.4,89,89
S,AC,,,,C,1000,218,,51,,,,,BCC,CAST,6.5,94,94
S,AC,,,,C,1000,154,,51,,,,,BCC,CAST,8.4,89,89
S,AC,,,168.9,C,25,163,,80,,,,,FCC,CAST,8.2,226,226
S,AC,,,244,C,25,335,,52,,,,,FCC,CAST,8.9,238,238
M,AC,,,357.9,C,25,556,,35.6,,,,,other,CAST,9.8,,
M,AC,,,826,C,25,2663,,2.7,,,,,other,CAST,8.1,,
M,AC,,,792,C,25,1647,,0.9,,,,,other,CAST,7.6,,
M,AC,,,699,C,25,1707,,1.7,,,,,other,CAST,7.4,,
S,CR + A,,,107,T,25,62,169,98,,,16.6,,FCC,WROUGHT,7.8,200,200
M,CR + A,,,209,T,25,350,642,73,,,47,,other,WROUGHT,7.8,,
M,CR + A,,,321,T,25,535,904,39,,,35.2,,other,WROUGHT,7.8,,
M,CR + A,,,159,T,25,255,584,88,,,51.4,,other,WROUGHT,7.8,,
S,CR + A,60,,,,20,,,,,,88.9,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,40,,,,,,88.6,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,60,,,,,,88.4,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,80,,,,,,88.1,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,100,,,,,,87.9,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,120,,,,,,87.7,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,140,,,,,,87.5,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,160,,,,,,87.3,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,180,,,,,,87.1,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,200,,,,,,86.9,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,220,,,,,,86.7,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,240,,,,,,86.5,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,260,,,,,,86.3,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,280,,,,,,86.1,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,300,,,,,,85.8,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,320,,,,,,85.5,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,340,,,,,,85.2,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,360,,,,,,84.9,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,380,,,,,,84.5,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,400,,,,,,84.2,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,420,,,,,,83.8,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,440,,,,,,83.5,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,460,,,,,,83.1,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,480,,,,,,82.7,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,500,,,,,,82.3,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,520,,,,,,81.9,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,540,,,,,,81.6,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,560,,,,,,81.3,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,580,,,,,,81,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,600,,,,,,80.7,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,620,,,,,,80.4,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,640,,,,,,80.2,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,660,,,,,,80,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,680,,,,,,79.8,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,700,,,,,,79.6,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,720,,,,,,79.3,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,740,,,,,,79,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,760,,,,,,78.7,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,780,,,,,,78.4,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,800,,,,,,78.1,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,820,,,,,,77.7,,BCC,WROUGHT,9.9,107,107
S,CR + A,,,,,840,,,,,,77.4,,BCC,WROUGHT,9.9,107,107
S,A + HR,90,,263,T,25,540,772,60,,,,,FCC,WROUGHT,7.8,214,214
S,HR + A,216,,185,,,,,,,,,,FCC,WROUGHT,7.8,214,214
S,HR + A,263,,197,,,,,,,,,,FCC,WROUGHT,7.8,213,213
S,A + HR,90,,308,T,25,586,875,46,,,,,FCC,WROUGHT,7.8,213,213
S,A + HR,90,,335,T,25,672,982,37,,,,,FCC,WROUGHT,7.8,212,212
S,HR + A,324,,204,,,,,,,,,,FCC,WROUGHT,7.8,212,212
S,CR + A ,,,,C,20,573,,,,,,,BCC,WROUGHT,10,136,136
S,CR + A ,,,,C,100,486,,,,,,,BCC,WROUGHT,10,136,136
S,CR + A ,,,,C,200,378,,,,,,,BCC,WROUGHT,10,136,136
S,CR + A ,,,,C,300,314,,,,,,,BCC,WROUGHT,10,136,136
S,CR + A ,,,,C,400,232,,,,,,,BCC,WROUGHT,10,136,136
S,CR + A ,,,,C,600,222,,,,,,,BCC,WROUGHT,10,136,136
S,CR + A ,,,,C,800,210,,,,,,,BCC,WROUGHT,10,136,136
S,CR + A ,,,,C,1000,160,,,,,,,BCC,WROUGHT,10,136,136
S,AC,,,,C,20,1152,,,,,,,BCC,CAST,8.2,120,120
S,AC,,,,C,200,740,,,,,,,BCC,CAST,8.2,120,120
S,AC,,,,C,100,740,,,,,,,BCC,CAST,8.2,120,120
S,A,,,,C,20,1210,,,,,,,BCC,ANNEAL,10,179,179
S,A,,,,C,60,1071,,,,,,,BCC,ANNEAL,10,179,179
S,A,,,,C,100,1029,,,,,,,BCC,ANNEAL,10,179,179
S,A,,,,C,200,868,,,,,,,BCC,ANNEAL,10,179,179
S,A,,,,C,300,732,,,,,,,BCC,ANNEAL,10,179,179
S,A,,,,C,400,685,,,,,,,BCC,ANNEAL,10,179,179
S,A,,,,C,600,593,,,,,,,BCC,ANNEAL,10,179,179
S,A,,,,C,800,564,,,,,,,BCC,ANNEAL,10,179,179
S,A,,,,C,1000,539,,,,,,,BCC,ANNEAL,10,179,179
S,A,,,,C,20,1054,,,,,,,BCC,ANNEAL,12.1,198,198
S,A,,,,C,100,968,,,,,,,BCC,ANNEAL,12.1,198,198
S,A,,,,C,200,869,,,,,,,BCC,ANNEAL,12.1,198,198
S,A,,,,C,300,754,,,,,,,BCC,ANNEAL,12.1,198,198
S,A,,,,C,400,627,,,,,,,BCC,ANNEAL,12.1,198,198
S,A,,,,C,600,596,,,,,,,BCC,ANNEAL,12.1,198,198
S,A,,,,C,800,564,,,,,,,BCC,ANNEAL,12.1,198,198
S,A,,,,C,1000,459,,,,,,,BCC,ANNEAL,12.1,198,198
S,A,,,,C,20,860,,,,,,,BCC,ANNEAL,10.9,119,119
S,A,,,,C,20,834,,,,,,,BCC,ANNEAL,10.9,119,119
S,A,,,,C,200,610,,,,,,,BCC,ANNEAL,10.9,119,119
S,A,,,,C,600,473,,,,,,,BCC,ANNEAL,10.9,119,119
S,A,,,,C,20,1630,,,,,,,BCC,ANNEAL,7.6,196,196
S,A,,,,C,200,1268,,,,,,,BCC,ANNEAL,7.6,196,196
S,A,,,,C,400,1115,,,,,,,BCC,ANNEAL,7.6,196,196
S,A,,,,C,600,1062,,,,,,,BCC,ANNEAL,7.6,196,196
S,A,,,,C,800,1058,,,,,,,BCC,ANNEAL,7.6,196,196
M,A,,,,C,20,1795,,,,,,,other,ANNEAL,9.9,,
M,A,,,,C,100,1506,,,,,,,other,ANNEAL,9.9,,
M,A,,,,C,200,1266,,,,,,,other,ANNEAL,9.9,,
M,A,,,,C,300,1183,,,,,,,other,ANNEAL,9.9,,
M,A,,,,C,400,1175,,,,,,,other,ANNEAL,9.9,,
M,A,,,,C,600,1162,,,,,,,other,ANNEAL,9.9,,
M,A,,,,C,800,1162,,,,,,,other,ANNEAL,9.9,,
M,A,,,,C,1000,1159,,,,,,,other,ANNEAL,9.9,,
S,AC,,,338.3,C,25,1160,,50,,,,,BCC,CAST,6.5,100,100
S,AC,,,338.3,C,600,405,,50,,,,,BCC,CAST,6.5,100,100
S,AC,,,338.3,C,800,85,,50,,,,,BCC,CAST,6.5,100,100
S,AC,,,332.4,C,25,1115,,50,,,,,BCC,CAST,6.6,100,100
S,AC,,,322.5,C,25,1065,,50,,,,,BCC,CAST,6.7,100,100
S,AC,,,322.5,C,600,718,,50,,,,,BCC,CAST,6.7,100,100
S,AC,,,322.5,C,800,135,,50,,,,,BCC,CAST,6.7,100,100
S,AC,,,318.9,C,25,1025,,50,,,,,BCC,CAST,6.8,100,100
S,AC,,,310.4,C,25,980,,50,,,,,BCC,CAST,6.9,101,101
S,AC,,,310.4,C,600,859,,50,,,,,BCC,CAST,6.9,101,101
S,AC,,,310.4,C,800,195,,50,,,,,BCC,CAST,6.9,101,101
M,CR,,,398,T,25,1190,1300,4.3,,,,,other,WROUGHT,8.1,,
M,CR + A,1.4,,367,T,25,1170,1270,10.7,,,,,other,WROUGHT,8.1,,
M,CR + A,1.5,,312,T,25,1030,1190,11.4,,,,,other,WROUGHT,8.1,,
M,CR + A,1.9,,271,T,25,970,1110,12.1,,,,,other,WROUGHT,8.1,,
M,CR + A,2.2,,183,T,25,850,960,14.3,,,,,other,WROUGHT,8.1,,
M,CR + A,6.5,,162,T,25,470,640,34.8,,,,,other,WROUGHT,8.1,,
M,AC,,,,T,25,170,537,32,,,,,other,CAST,8.3,,
M,AC,,,,T,25,640,840,7,,,,,other,CAST,8.4,,
M,A,,,,T,25,560,860,19,,,,,other,ANNEAL,8.3,,
M,A,,,,T,25,,,3,,,,,other,ANNEAL,8.4,,
M,A,,,345,C,800,,,,,,,,other,ANNEAL,8,,
M,A,,,285,C,1000,,,,,,,,other,ANNEAL,8,,
M,SPS,10.21,,550,C,25,1221.1,,30,23.2,,,,other,POWDER,6.7,,
M,SPS,15.68,,510,C,25,1186.7,,33,26.5,,,,other,POWDER,6.7,,
M,SPS,16.7,,503,C,25,1112.9,,30,21.4,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,2500,,10,,,,,other,POWDER,9.9,,
M,SPS,,,,C,25,1260,,4.8,,,,,other,POWDER,9.9,,
M,SPS,,,,C,25,1630,,4.85,,,,,other,POWDER,9.9,,
M,SPS,,,,C,25,2030,,4.3,,,,,other,POWDER,9.9,,
M,SPS,,,,C,25,1920,,5,,,,,other,POWDER,9.9,,
M,SPS,,,,C,25,,,,,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,,,,,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,,,,,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,,,,,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,520,,,,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,1150,,,,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,1287,,,,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,1286,,,,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,1390,,,,,,,other,POWDER,6.7,,
M,SPS,,,,C,25,1626,,,,,,,other,POWDER,6.7,,
S,,,,,,,,,,,,,,FCC,,7.8,222,222
S,AC,,,,T,25,213,471,55.7,,,,,FCC,CAST,7.7,212,212
S,AC,,,,T,25,393,634,26.5,,,,,FCC,CAST,7.7,212,212
S,HF,,,,T,25,792,1055,22.6,,,,,FCC,WROUGHT,7.7,212,212
S,HR + A,18,,,T,25,559,1004,33.9,,,,,FCC,WROUGHT,7.7,212,212
S,HR + A,32,,,T,25,512,978,55.3,,,,,FCC,WROUGHT,7.7,212,212
S,HR + A,63,,,T,25,476,947,69.4,,,,,FCC,WROUGHT,7.7,212,212
S,CR + A,,,,T,25,353,635,,43,,,,FCC,WROUGHT,8,220,220
M,CR + A,,,,T,25,732,911,,32,,,,other,WROUGHT,8,,
M,HF,,,,C,25,1500,,6,,,,,other,WROUGHT,7.3,,
M,S,,,,,,,,,,,,,BCC,POWDER,7.3,102,102
M,HF + A,,,,C,25,1200,,8,,,,,other,WROUGHT,7.3,,
M,HF + A,,,,C,25,2100,,12,,,,,other,WROUGHT,7.3,,
M,HF + A,,,,C,25,1740,,20,,,,,other,WROUGHT,7.3,,
M,HF + A,,,,C,25,1630,,12,,,,,other,WROUGHT,7.3,,
S,SPS,,,504.5,C,25,1217,,7.5,3.8,,,,BCC,POWDER,13.7,250,250
M,SPS,,,567,C,25,1826,,16.5,10.5,,,,other,POWDER,12.9,,
M,SPS,,,697,C,25,1883,,11,5.8,,,,other,POWDER,12.2,,
M,SPS,,,682.6,C,25,2483,,6.2,1.6,,,,other,POWDER,11.6,,
S,SPS,,,420,,200,,,,,,,,BCC,POWDER,13.7,250,250
M,SPS,,,425,,200,,,,,,,,other,POWDER,12.9,,
M,SPS,,,535,,200,,,,,,,,other,POWDER,12.2,,
M,SPS,,,640,,200,,,,,,,,other,POWDER,11.6,,
S,SPS,,,425,,400,,,,,,,,BCC,POWDER,13.7,250,250
M,SPS,,,420,,400,,,,,,,,other,POWDER,12.9,,
M,SPS,,,560,,400,,,,,,,,other,POWDER,12.2,,
M,SPS,,,600,,400,,,,,,,,other,POWDER,11.6,,
S,SPS,,,340,,600,,,,,,,,BCC,POWDER,13.7,250,250
M,SPS,,,425,,600,,,,,,,,other,POWDER,12.9,,
M,SPS,,,540,,600,,,,,,,,other,POWDER,12.2,,
M,SPS,,,650,,600,,,,,,,,other,POWDER,11.6,,
S,SPS,,,335.5,,800,,,,,,,,BCC,POWDER,13.7,250,250
M,SPS,,,399.2,,800,,,,,,,,other,POWDER,12.9,,
M,SPS,,,550.5,,800,,,,,,,,other,POWDER,12.2,,
M,SPS,,,597.3,,800,,,,,,,,other,POWDER,11.6,,
M,SPS,,,,C,1200,960,,22.7,,,,,other,POWDER,11.6,,
S,CR,,,,T,25,1199.26,1335.35,4.37,,,,,FCC,WROUGHT,8,220,220
S,CR + A,,,,T,25,1269.23,1366.3,1.16,,,,,FCC,WROUGHT,8,220,220
S,CR + A,,,,T,25,1371.21,1402.83,1.58,,,,,FCC,WROUGHT,8,220,220
S,CR + A,0.166,,,T,25,1362.74,1471.05,3.15,,,,,FCC,WROUGHT,8,220,220
S,CR + A,0.248,,,T,25,1241.81,1325.25,4.31,,,,,FCC,WROUGHT,8,220,220
S,CR + A,0.468,,,T,25,930.3,1021.32,19.01,,,,,FCC,WROUGHT,8,220,220
S,CR + A,1.79,,,T,25,729.21,901.74,26.3,,,,,FCC,WROUGHT,8,220,220
S,CR + A,4.57,,,T,25,494.82,735.6,38.7,,,,,FCC,WROUGHT,8,220,220
S,CR + A,13.45,,,T,25,366.88,673.25,42.55,,,,,FCC,WROUGHT,8,220,220
S,CR + A,22.37,,,T,25,290.65,618.51,43.15,,,,,FCC,WROUGHT,8,220,220
S,CR + A,30.6,,,T,25,258.76,598.75,45.05,,,,,FCC,WROUGHT,8,220,220
M,VHP,,,457,C,25,1616,,,4.5,,,7.5,other,POWDER,7.8,,
M,VHP,,,461,C,25,1652,,,10,,,7.64,other,POWDER,7.8,,
M,VHP,,,428,C,25,1490,,,11.4,,,7.66,other,POWDER,7.8,,
M,VHP,,,378,C,25,1194,,,20.1,,,7.69,other,POWDER,7.8,,
S,,,,,,,,,,,,,,FCC,,8.2,226,226
M,,,,250,,,,,,,,,,other,,7.3,,
S,,,,500,,,,,,,,,,BCC,,6.7,184,184
S,,,,733,,,,,,,,,,BCC,,5.9,160,160
M,,,,733,,,,,,,,,,other,,6.9,,
M,,,,640,,,,,,,,,,other,,6.9,,
,,,,,,,,,,,,,,other,,7.4,,
M,,,,385,,,,,,,,,,other,,7.8,,
M,,,,486,,,,,,,,,,other,,8.3,,
M,,,,570,,,,,,,,,,other,,8.6,,
M,,,,,,,,,,,,,,other,,8,,
M,,,,200,,,,,,,,,,other,,8.5,,
M,,,,290,,,,,,,,,,other,,9,,
M,,,,345,,,,,,,,,,other,,9.4,,
S,,,,160,,,,,,,,,,FCC,,7.6,210,210
S,,,,200,,,,,,,,,,FCC,,7.7,214,214
S,AC,,,,T,25,280,556,48,48.2,,,,FCC,CAST,7.5,204,204
S,CR,,,,T,25,320,625,42.2,42.45,,,,FCC,WROUGHT,7.2,195,195
S,AC,,,,T,25,1253,1392,6.78,8.2,,,,FCC,CAST,7.5,204,204
S,CR,,,,T,25,1400,1500,5.83,7.85,,,,FCC,WROUGHT,7.2,195,195
S,AC,,,,,800,,,,,,,,FCC,CAST,8.4,189,189
S,AC,,,,,900,,,,,,,,FCC,CAST,8.4,189,189
S,AC,,,,,100,,,,,,,,FCC,CAST,8.4,189,189
S,AC,,,,T,25,489,895,,53.6,,,,FCC,CAST,8.3,231,231
,CR+A,,,,T,25,873,,,23.4,,,,other,WROUGHT,8.3,,
,CR+A,,,,T,25,952,1122,,14.2,,,,other,WROUGHT,8.3,,
S,CR+A,,,,T,25,1136,1245,,8.7,,,,FCC,WROUGHT,8.3,231,231
S,CR+A,,,,T,25,1301,1493,,7.2,,,,FCC,WROUGHT,8.3,231,231
,CR+A,,,,T,25,1311,1421,,5.9,,,,other,WROUGHT,8.3,,
,CR+A,,,,T,25,1273,1458,,5.5,,,,other,WROUGHT,8.3,,
M,CR+A,,,142.5,T,25,777,810,3.4,,,,,other,WROUGHT,7.6,,
M,CR+A,,,147.4,,,,,,,,,,other,WROUGHT,7.6,,
M,CR+A,,,155.2,,,,,,,,,,other,WROUGHT,7.6,,
,AC,,,1084,,25,,,,,,,,other,CAST,7.2,,
,AC,,,1011,,25,,,,,,,,other,CAST,8.8,,
,AC,,,725,,25,,,,,,,,other,CAST,8,,
,AC,,,815,,25,,,,,,,,other,CAST,9.5,,
,AC,,,422,,25,,,,,,,,other,CAST,6.4,,
,AC,,,856,,25,,,,,,,,other,CAST,6.9,,
,AC,,,277,,25,,,,,,,,other,CAST,7.7,,
M,AC,,,430.9,C,25,929,,13.7,,,,,other,CAST,6.9,,
M,AC,,,420,C,25,1021,,12.3,,,,,other,CAST,7,,
M,AC,,,391.4,C,25,994,,24.5,,,,,other,CAST,7,,
M,AC,,,323.8,C,25,680,,35.9,,,,,other,CAST,7.2,,
M,AC,,,299.2,C,25,544,,,,,,,other,CAST,7.3,,
S,AC,,,279.6,C,25,268,,,,,,,FCC,CAST,7.5,167,167
M,AC,,,353,C,25,1091,,50,,,,,other,CAST,7.1,,
M,AC,,,361,C,25,1130,,53,,,,,other,CAST,6.9,,
M,AC,,,375,C,25,1170,,55,,,,,other,CAST,6.8,,
M,AC,,,386,C,25,1200,,55,,,,,other,CAST,6.7,,
S,AC,,,130.1,T,25,225,732,61,,,,,FCC,CAST,7.8,195,195
S,HR,,,318.2,T,25,705,1070,10,,,,,FCC,WROUGHT,7.8,195,195
S,HR + A,,,153.8,T,25,320,920,60,,,,,FCC,WROUGHT,7.8,195,195
S,AC,,,,C,25,422,,1,,,88.7,3.08,FCC,CAST,3.2,73,73
S,AC,,,,C,25,534,,1,,,107.8,3.15,FCC,CAST,3.2,72,72
S,AC,,,,C,25,490,,6,,,78.4,3.06,FCC,CAST,3.1,75,75
S,AC,,,,C,25,622,,2,,,114.1,2.98,FCC,CAST,3.2,73,73
M,AC,,,,C,25,565,,4,,,105.1,3.06,other,CAST,3.2,,
S,AC,,,,T,25,400,780,53,,,,,FCC,CAST,8.3,232,232
S,A,,,,T,25,,838,43,,,,,FCC,ANNEAL,8.3,232,232
S,A,,,,T,25,,899,31,,,,,FCC,ANNEAL,8.3,232,232
S,A,,,,T,25,,902,29,,,,,FCC,ANNEAL,8.3,232,232
S,A,,,,T,25,,811,52,,,,,FCC,ANNEAL,8.3,232,232
S,A,,,,T,25,,790,49,,,,,FCC,ANNEAL,8.3,232,232
S,A,,,,T,25,,799,47,,,,,FCC,ANNEAL,8.3,232,232
S,A,,,,T,25,,802,37,,,,,FCC,ANNEAL,8.3,232,232
S,A,,,,T,25,,823,36,,,,,FCC,ANNEAL,8.3,232,232
S,A,,,,T,25,,849,34,,,,,FCC,ANNEAL,8.3,232,232
S,A,,,,T,25,,895,32,,,,,FCC,ANNEAL,8.3,232,232
M,AC,,,,C,25,556,,3,,,,1.7,other,CAST,1.6,,
M,AC,,,,C,25,418,,13,,,,1.57,other,CAST,1.4,,
M,AC,,,,C,25,360,,9,,,,1.52,other,CAST,1.4,,
M,AC,,,,C,25,342,,44,,,,1.5,other,CAST,1.4,,
M,AC,,,,C,25,300,,63,,,,1.46,other,CAST,1.4,,
S,AC,,,295,,,,,,,,,,FCC,CAST,9.2,201,201
M,AC,,,470,C,25,650,,50,,,,,other,CAST,9.1,,
M,AC,,,380,C,25,650,,46,,,,,other,CAST,9.1,,
M,AC,,,180,C,25,650,,42,,,,,other,CAST,9,,
M,AC,,,160,C,25,650,,35,,,,,other,CAST,8.9,,
,SPS,,,,,,,,,,,,,other,POWDER,7.6,,
